station_id,station_name,latitude,longitude,data_start,data_end,country_id
43473,Nuwara Eliya,6.9667,80.7667,1869-02-01,2024-01-15,132
72648,Escanaba,45.75,-87.0333,1871-05-25,2024-04-18,149
72422,Lexington Blue Grass Airport,38.0333,-84.6,1872-10-11,2024-12-30,149
03026,Stornoway,58.2167,-6.3167,1873-07-01,2024-04-19,148
11150,Salzburg,47.8,13.0,1874-01-01,2024-04-18,7
10803,Freiburg,48.0,7.85,1874-01-01,2024-04-21,53
33019,Pinsk,52.1167,26.1167,1875-07-01,2024-04-19,12
11012,Kremsmünster,48.05,14.1333,1876-01-01,2024-04-20,7
10381,Berlin / Dahlem,52.4667,13.3,1876-01-01,2024-04-21,53
11120,Innsbruck-Flughafen,47.2667,11.35,1877-01-01,2024-04-20,7
72583,Winnemucca Municipal Airport,40.9,-117.8,1877-07-01,2024-12-29,149
68718,Robertson,-33.8333,19.9,1877-10-01,2024-12-27,129
68747,Fort Beaufort,-32.7881,26.6294,1877-11-01,2024-12-27,129
68926,Riversdale,-34.0833,21.25,1877-11-01,2024-12-27,129
68849,Grahamstown / West Hill,-33.2906,26.5028,1877-11-01,2024-12-27,129
68828,"George, George Airport",-34.0,22.3833,1877-11-01,2024-12-28,129
68715,Malmesbury,-33.4725,18.7183,1877-12-01,2024-12-02,129
68832,Willowmore,-33.2833,23.5,1877-12-01,2024-12-17,129
68744,Cradock,-32.1667,25.6167,1877-12-01,2024-11-20,129
68624,Fraserburg,-31.9167,21.5167,1878-01-01,2024-12-30,129
60517,Ghazaouet,35.1,-1.8667,1878-01-01,2024-04-17,2
68512,Springbok,-29.6667,17.8667,1878-01-01,2024-12-15,129
02080,Karesuando,68.45,22.5,1878-10-15,2024-02-29,134
D5440,Weißenburg-Emetzheim,49.0116,10.9308,1879-01-01,2024-04-21,53
10763,Nuernberg,49.5,11.05,1879-01-01,2024-04-21,53
10776,Regensburg,49.05,12.1,1879-01-01,2024-04-21,53
D0320,Heinersreuth-Vollhof,49.9667,11.5197,1879-01-01,2024-04-21,53
10865,München,48.1333,11.55,1879-01-01,2024-04-21,53
10761,Weissenburg,49.0167,10.9667,1879-01-01,2024-02-28,53
10675,Bamberg,49.9167,10.9,1879-01-02,2024-04-21,53
60395,Tizi-Ouzou,36.7,4.05,1879-01-04,2024-04-17,2
33902,Kherson,46.6333,32.5667,1879-02-06,2024-03-26,146
68649,Jamestown,-31.1211,26.8097,1879-03-01,2024-12-30,129
07020,La Hague,49.7167,-1.9333,1880-01-01,2024-04-19,49
60525,Biskra,34.8,5.7333,1880-01-01,2024-04-17,2
68821,Worcester,-33.6639,19.4183,1880-01-01,2024-11-12,129
26406,Liepaja,56.4833,21.0167,1881-01-01,2024-04-04,77
26730,Vilnius,54.6333,25.1,1881-01-01,2024-04-20,81
33345,Kyiv,50.4,30.5667,1881-01-01,2024-04-20,146
26774,Gorki,54.3,30.9333,1881-01-01,2024-04-19,12
22837,Vytegra,61.0167,36.45,1881-01-01,2024-04-19,119
10361,Magdeburg,52.1333,11.6,1881-01-01,2024-04-21,53
31510,Blagovescensk,50.25,127.5667,1881-01-01,2024-04-20,119
26063,St. Peterburg,59.9667,30.3,1881-01-01,2024-04-18,119
35700,Atyray,47.1,51.7167,1881-01-01,2024-04-21,71
27199,Kirov,58.6,49.6333,1881-01-01,2024-04-20,119
30879,Nerchinskij Zavod,51.3167,119.6167,1881-01-01,2024-04-20,119
22550,Arhangel'Sk,64.5,40.7333,1881-01-01,2024-04-20,119
27459,Niznij Novgorod,56.2667,44.0,1881-01-01,2024-04-20,119
