country_id,indicator_id,value,log_id
103,5,57.3,569
103,6,159.7,570
103,7,65.9,571
103,8,74.1,572
103,9,60.0,573
103,10,93.7,574
106,1,47.5,575
106,2,213.0,576
106,3,89.0,577
106,4,17.0,578
106,5,31.8,579
106,6,317.0,580
106,7,34.6,581
106,8,40.8,582
106,9,26.0,583
106,10,314.0,584
108,1,78.1,585
108,2,19.0,586
108,3,21.4,587
108,4,242.0,588
108,5,73.5,589
108,6,45.7,590
108,7,79.0,591
108,8,80.2,592
108,9,80.2,593
108,10,23.2,594
109,3,37.3,595
109,4,187.0,596
109,5,80.2,597
109,6,8.0,598
109,7,42.9,599
109,8,38.5,600
109,9,37.0,601
109,10,255.0,602
110,1,61.2,603
110,2,155.0,604
110,3,69.7,605
110,4,78.3,606
110,5,56.2,607
110,6,169.8,608
110,7,19.2,609
110,8,17.8,610
110,9,14.1,611
110,10,415.7,612
111,1,58.8,613
111,2,170.0,614
111,3,61.4,615
111,4,107.0,616
111,5,52.7,617
111,6,193.0,618
111,7,46.6,619
111,8,49.5,620
111,9,45.7,621
111,10,222.0,622
112,5,19.9,623
112,6,342.0,624
113,7,26.8,625
113,8,26.1,626
113,9,20.2,627
113,10,383.0,628
114,1,58.1,629
114,2,172.0,630
114,3,85.3,631
114,4,26.0,632
114,5,29.1,633
114,6,324.0,634
114,7,33.6,635
114,8,35.9,636
114,9,25.2,637
114,10,326.0,638
115,1,63.2,639
115,2,145.0,640
115,3,75.5,641
115,4,60.0,642
115,5,53.8,643
115,6,181.5,644
115,7,35.7,645
115,8,41.5,646
115,9,19.6,647
115,10,304.3,648
116,1,52.0,649
116,2,199.0,650
116,3,64.4,651
116,4,96.0,652
116,5,70.0,653
116,6,69.4,654
116,7,41.6,655
116,8,37.4,656
116,9,37.1,657
116,10,263.7,658
117,1,76.8,659
117,2,26.0,660
117,3,29.4,661
117,4,215.0,662
117,5,69.3,663
117,6,74.5,664
117,7,44.8,665
117,8,43.4,666
117,9,38.1,667
117,10,241.0,668
118,1,73.3,669
118,2,46.0,670
118,3,59.9,671
118,4,114.0,672
118,5,84.6,673
118,6,3.0,674
118,7,51.1,675
118,8,44.0,676
118,9,47.5,677
118,10,205.0,678
119,1,60.2,679
119,2,155.5,680
119,3,59.4,681
119,4,114.5,682
119,5,67.8,683
119,6,88.0,684
119,7,38.1,685
119,8,37.0,686
119,9,37.4,687
119,10,286.8,688
120,1,62.6,689
120,2,135.4,690
120,3,60.9,691
120,4,109.0,692
120,5,61.2,693
120,6,130.8,694
120,7,28.5,695
120,8,26.6,696
120,9,25.6,697
120,10,368.2,698
121,7,26.6,699
121,8,27.1,700
121,9,21.5,701
121,10,385.0,702
122,1,62.3,703
122,2,151.0,704
122,3,65.2,705
122,4,91.0,706
122,5,73.9,707
122,6,38.5,708
122,7,46.7,709
122,8,42.7,710
122,9,35.2,711
122,10,223.0,712
123,7,43.1,713
123,8,41.3,714
123,9,41.1,715
123,10,253.0,716
124,1,51.2,717
124,2,201.0,718
124,3,60.2,719
124,4,112.0,720
124,5,61.0,721
124,6,129.0,722
124,7,38.1,723
124,8,36.5,724
124,9,32.3,725
124,10,288.3,726
127,1,55.6,727
127,2,186.0,728
127,3,37.7,729
127,4,185.0,730
127,5,69.7,731
127,6,69.0,732
127,7,47.5,733
127,8,47.8,734
127,9,35.8,735
127,10,221.0,736
128,1,67.0,737
128,2,104.0,738
128,3,22.7,739
128,4,240.0,740
128,5,78.7,741
128,6,13.0,742
128,7,50.9,743
128,8,50.2,744
128,9,47.7,745
128,10,206.0,746
130,1,63.7,747
130,2,130.5,748
130,3,52.0,749
130,4,142.5,750
130,5,20.5,751
130,6,341.3,752
130,7,34.3,753
130,8,29.6,754
130,9,29.1,755
130,10,318.0,756
131,1,83.1,757
131,2,3.0,758
131,3,58.1,759
131,4,122.0,760
131,5,75.6,761
131,6,28.0,762
131,7,65.9,763
131,8,90.0,764
131,9,37.8,765
131,10,95.0,766
132,1,77.2,767
132,2,23.5,768
132,3,40.3,769
132,4,179.7,770
132,5,63.9,771
132,6,114.3,772
132,7,48.5,773
132,8,46.4,774
132,9,46.3,775
132,10,215.4,776
133,1,71.2,777
133,2,62.0,778
133,3,60.4,779
133,4,111.0,780
133,5,58.0,781
133,6,153.0,782
133,7,36.8,783
133,8,53.2,784
133,9,20.3,785
133,10,294.0,786
135,1,66.9,787
135,2,105.5,788
135,3,19.1,789
135,4,245.5,790
135,5,50.1,791
135,6,214.0,792
135,7,60.0,793
135,8,62.4,794
135,9,54.0,795
135,10,159.0,796
136,1,70.4,797
136,2,68.5,798
136,3,24.3,799
136,4,235.0,800
136,5,74.5,801
136,6,40.0,802
136,7,104.4,803
136,8,115.8,804
136,9,97.0,805
136,10,4.0,806
137,5,30.6,807
137,6,319.0,808
139,7,26.5,809
139,8,29.0,810
139,9,18.5,811
139,10,386.0,812
140,1,78.6,813
140,2,21.7,814
140,3,80.9,815
140,4,39.7,816
140,5,64.3,817
140,6,108.0,818
140,7,35.5,819
140,8,42.4,820
140,9,19.1,821
140,10,309.7,822
142,5,23.6,823
142,6,336.0,824
142,7,55.9,825
142,8,59.1,826
142,9,49.8,827
142,10,185.0,828
143,1,57.5,829
143,2,176.0,830
143,5,51.9,831
143,6,202.0,832
143,7,27.8,833
143,8,31.2,834
143,9,14.4,835
143,10,375.5,836
144,1,71.8,837
144,2,56.5,838
144,3,59.0,839
144,4,114.0,840
144,5,63.3,841
144,6,116.0,842
144,7,33.6,843
144,8,32.0,844
144,9,28.3,845
144,10,325.8,846
147,1,54.6,847
147,2,188.2,848
147,3,62.7,849
147,4,104.4,850
147,5,52.2,851
147,6,197.8,852
147,7,27.0,853
147,8,26.4,854
147,9,22.4,855
147,10,382.8,856
148,1,69.1,857
148,2,76.5,858
148,3,49.3,859
148,4,157.0,860
148,5,84.9,861
148,6,4.2,862
148,7,51.5,863
148,8,39.7,864
148,9,45.8,865
148,10,200.8,866
149,1,74.4,867
149,2,39.5,868
149,3,43.5,869
149,4,170.0,870
149,5,52.1,871
149,6,193.6,872
149,7,63.1,873
149,8,59.1,874
149,9,63.8,875
149,10,128.2,876
150,1,66.6,877
150,2,104.9,878
150,3,43.8,879
150,4,168.8,880
150,5,43.6,881
150,6,247.8,882
150,7,73.3,883
150,8,78.2,884
150,9,70.7,885
150,10,54.7,886
151,1,68.5,887
151,2,84.0,888
151,3,46.8,889
151,4,164.0,890
151,5,44.2,891
151,6,262.0,892
151,7,55.0,893
151,8,53.0,894
151,9,49.2,895
151,10,186.0,896
152,7,27.4,897
152,8,29.0,898
152,9,21.3,899
152,10,380.0,900
154,1,38.1,901
154,2,218.0,902
154,3,73.9,903
154,4,60.0,904
154,5,18.0,905
154,6,346.0,906
154,7,41.5,907
154,8,42.5,908
154,9,41.6,909
154,10,263.0,910
155,1,59.4,911
155,2,166.5,912
155,3,91.0,913
155,4,9.0,914
155,5,56.2,915
155,6,170.0,916
155,7,29.6,917
155,8,34.5,918
155,9,15.6,919
155,10,363.5,920
157,5,38.8,921
157,6,286.0,922
157,7,38.4,923
157,8,34.8,924
157,9,32.7,925
157,10,283.0,926
